date,spy_open,spy_high,spy_low,spy_adj_close,spy_volume,log_return,rolling_volatility_30d,umich_sentiment
2011-04-06,102.58258,102.674524,102.00024,102.414009,120411600,0.003147,0.14721,69.8
2011-04-07,102.230119,102.659205,101.64779,102.153503,170731500,-0.002547,0.147472,69.8
2011-04-08,102.605567,102.666867,101.379598,101.801025,147945400,-0.003456,0.144895,69.8
2011-04-11,101.908288,102.253088,101.249331,101.49453,121385400,-0.003015,0.144089,69.8
2011-04-12,100.927519,101.126734,100.368176,100.735962,161187400,-0.007502,0.137018,69.8
2011-04-13,101.203382,101.279998,100.345211,100.728325,162059000,-7.6e-05,0.136907,69.8
2011-04-14,100.145968,100.958167,99.816495,100.804924,161220400,0.00076,0.127265,69.8
2011-04-15,100.988804,101.425548,100.689976,101.172691,170006700,0.003642,0.125893,69.8
2011-04-18,100.061697,101.165067,99.23417,100.038712,210759300,-0.011272,0.12811,69.8
2011-04-19,100.191915,100.643998,99.946728,100.613342,124258800,0.005728,0.126614,69.8
2011-04-20,101.816346,102.207118,101.747376,101.984917,156133800,0.01354,0.132617,69.8
